@RELATION data/knnSM
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {speech,music}

@DATA
0.159022,0.019875,3.052991,0.241489,0.190152,1.372254,0.012089,0.255000,-24.761106,0.763537,-0.652941,-0.404686,-0.093932,-0.228075,0.015555,-0.161581,-0.006246,0.153687,-0.188056,-0.110849,-0.188260,0.014236,0.009515,0.007926,0.005487,0.010830,0.006687,0.008304,0.007562,0.007259,0.022158,0.023267,0.017514,0.015621,0.078422,0.015733,0.294337,0.063438,0.021156,0.562055,0.007812,0.137424,1.835948,1.066228,0.769998,0.481756,0.396231,0.366405,0.286653,0.284406,0.241561,0.224900,0.247421,0.358112,0.385649,0.017575,0.014304,0.008163,0.004586,0.016482,0.008872,0.011662,0.011537,0.007489,0.024967,0.030688,0.028557,0.009626,speech
0.220922,0.022061,3.009173,0.297677,0.203173,1.595693,0.010660,0.393208,-24.505766,0.913598,-0.006533,-0.519953,-0.262196,-0.187992,0.011073,-0.102290,0.015844,0.136346,-0.036067,-0.070444,-0.307473,0.024938,0.007686,0.010101,0.005554,0.006868,0.008411,0.019732,0.004577,0.006110,0.014279,0.017498,0.014470,0.017434,0.134706,0.017622,0.338216,0.103911,0.029534,0.592957,0.006854,0.186986,1.444334,0.757634,0.649390,0.466869,0.548308,0.343471,0.439061,0.275186,0.263318,0.232326,0.302214,0.333105,0.341461,0.042422,0.013681,0.013615,0.007888,0.008387,0.013741,0.034431,0.004743,0.008378,0.021719,0.018096,0.019441,0.012754,speech
0.175255,0.011015,3.044161,0.255212,0.186174,1.652669,0.007946,0.317742,-25.198375,0.505016,-0.540770,-0.229137,-0.176657,-0.064031,0.133235,-0.158505,-0.034201,0.082196,-0.089904,0.044071,-0.094452,0.010251,0.004605,0.008295,0.007970,0.010917,0.010195,0.012972,0.006773,0.012218,0.013949,0.013634,0.010218,0.011841,0.078051,0.011456,0.338965,0.062975,0.021032,0.527087,0.004231,0.131835,1.596766,0.812557,0.765743,0.525511,0.473573,0.230112,0.303828,0.195154,0.236481,0.195527,0.263225,0.230981,0.267371,0.012796,0.003697,0.007381,0.011006,0.014241,0.011493,0.014837,0.010480,0.019841,0.014567,0.018667,0.014698,0.009418,speech
0.098217,0.030047,3.040938,0.167770,0.164628,0.770995,0.011954,0.139688,-23.917891,1.887653,-0.708238,-0.286828,-0.673866,-0.124599,-0.180386,-0.183556,-0.149065,0.046671,0.015955,0.012243,-0.152892,0.010793,0.005237,0.013854,0.011584,0.015675,0.016330,0.015988,0.008919,0.029428,0.014211,0.020060,0.011145,0.017377,0.036387,0.012899,0.190963,0.030246,0.020205,0.225570,0.005720,0.048524,1.269115,0.596908,0.589126,0.352141,0.431428,0.252024,0.248175,0.319717,0.257281,0.251153,0.180215,0.182857,0.163316,0.006489,0.003745,0.011898,0.015420,0.013375,0.019704,0.017619,0.013058,0.021223,0.014435,0.009405,0.005741,0.007296,speech
0.156352,0.013304,2.811545,0.241668,0.227073,0.832149,0.021877,0.218125,-26.578740,2.180788,0.352526,-0.681087,-0.317376,0.029194,-0.017192,0.056630,-0.141880,-0.025436,-0.149872,-0.097132,-0.124712,0.024558,0.006350,0.020298,0.018287,0.014366,0.005331,0.013970,0.002425,0.012157,0.035223,0.025477,0.005856,0.020410,0.134681,0.018343,0.330403,0.108685,0.035012,0.743258,0.009600,0.221469,2.165268,0.880699,0.566342,0.317435,0.333325,0.269408,0.257014,0.217506,0.205497,0.256712,0.274019,0.228946,0.243277,0.021132,0.004639,0.025254,0.017461,0.019024,0.003927,0.012626,0.004647,0.015359,0.028884,0.024759,0.008121,0.010698,speech
0.186952,0.016945,2.582552,0.230850,0.221675,0.906167,0.013750,0.212625,-25.585955,2.484470,0.399561,-0.294058,-0.096503,0.226552,0.386748,-0.040163,-0.034989,0.055682,-0.161355,0.137265,0.143553,0.026547,0.004584,0.047847,0.012434,0.030366,0.013946,0.020577,0.002800,0.006864,0.009527,0.018466,0.005328,0.020095,0.103166,0.013683,0.333073,0.100620,0.034918,0.624513,0.007678,0.176511,1.933732,1.038771,0.804387,0.420738,0.503148,0.272982,0.344826,0.231354,0.311430,0.185977,0.175104,0.165487,0.163901,0.030274,0.003135,0.032573,0.010835,0.022088,0.007510,0.015429,0.004896,0.005628,0.007640,0.016063,0.005014,0.010715,speech
0.097309,0.031812,2.879286,0.166419,0.160352,0.897201,0.016660,0.165472,-24.204915,1.847740,-0.644301,-0.300434,-0.334316,0.010592,0.102732,0.016804,-0.172552,0.000787,-0.160797,0.008324,0.025002,0.011041,0.009518,0.020916,0.025084,0.028909,0.019917,0.022015,0.005639,0.012405,0.011338,0.010254,0.009533,0.021609,0.045813,0.023599,0.382870,0.035132,0.031845,0.352729,0.007321,0.071787,1.752040,0.731273,0.743062,0.401859,0.461992,0.385655,0.347455,0.371697,0.323841,0.278587,0.208699,0.228190,0.173010,0.013407,0.011879,0.020947,0.031465,0.028356,0.026185,0.025274,0.008192,0.021848,0.014884,0.012183,0.014330,0.010165,speech
0.143549,0.034476,2.927787,0.225097,0.207681,0.898361,0.015942,0.199924,-25.041833,2.151733,0.508299,0.000217,-0.498422,-0.029804,0.461904,-0.110627,0.081333,-0.368707,-0.226823,0.239060,-0.101958,0.019323,0.005652,0.062392,0.018996,0.024641,0.009613,0.012885,0.001003,0.004442,0.008268,0.013369,0.005023,0.022481,0.131912,0.027520,0.288530,0.115834,0.032364,0.665585,0.011350,0.206327,2.125530,1.153341,0.814827,0.410259,0.501810,0.426633,0.425634,0.327819,0.255330,0.243690,0.221726,0.239279,0.210797,0.025631,0.005704,0.054794,0.018237,0.023331,0.010675,0.012223,0.001478,0.004250,0.009426,0.016274,0.006010,0.014654,speech
0.168148,0.023469,2.764940,0.250122,0.201823,1.314556,0.011554,0.290125,-24.681267,1.466804,0.059582,-0.251579,-0.385735,0.018762,0.137118,0.040697,-0.068177,0.073778,-0.052771,0.001413,0.043958,0.011211,0.006639,0.023123,0.016404,0.025708,0.018923,0.016557,0.003238,0.007084,0.011477,0.014243,0.008174,0.017318,0.117516,0.022783,0.554026,0.107653,0.040332,0.723495,0.005789,0.223286,2.870184,0.684397,0.726850,0.413712,0.467120,0.281592,0.354036,0.257241,0.260383,0.219796,0.268827,0.195046,0.230675,0.012327,0.009200,0.034040,0.022523,0.024329,0.021677,0.013899,0.004338,0.006775,0.013773,0.014161,0.008192,0.010681,speech
0.207143,0.009655,2.763576,0.274835,0.206161,1.422030,0.010229,0.320006,-27.048989,1.341894,-0.358626,0.295235,-0.103026,-0.171087,-0.021333,0.074532,0.041507,0.053049,-0.077943,0.030987,-0.006518,0.014086,0.008999,0.013195,0.006496,0.016351,0.012151,0.023763,0.003314,0.008818,0.014836,0.017000,0.006412,0.012759,0.142975,0.012227,0.455797,0.136421,0.046206,0.618920,0.005393,0.237134,3.261156,1.061084,0.890854,0.366498,0.520964,0.397931,0.279818,0.242252,0.243141,0.265053,0.254306,0.181666,0.246451,0.017369,0.010687,0.013331,0.005712,0.019695,0.013029,0.018847,0.005161,0.010975,0.012963,0.017308,0.007212,0.007438,speech
