@RELATION data/knnSpeakerAll
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {F1,F2,F3,F4,F5,M1,M2,M3,M4,M5}

@DATA
0.087516,0.022464,2.730674,0.147311,0.163034,0.632617,0.023944,0.124031,-26.998879,2.346846,-0.020112,0.000314,-0.237863,-0.100736,-0.041706,-0.121532,-0.246293,-0.114219,-0.354490,-0.055163,-0.063902,0.026658,0.004046,0.054412,0.024901,0.020836,0.013052,0.032938,0.003132,0.013704,0.026189,0.016720,0.006556,0.032539,0.053139,0.026841,0.540178,0.041335,0.033494,0.556315,0.021242,0.108793,3.711692,0.999380,0.961139,0.550098,0.393600,0.317954,0.322461,0.346543,0.268528,0.263981,0.296375,0.277723,0.356114,0.041926,0.006078,0.070136,0.029270,0.030735,0.015599,0.030087,0.005881,0.025702,0.031494,0.019674,0.012120,0.018397,F1
0.082025,0.025404,2.735605,0.161537,0.183961,0.574813,0.024498,0.112726,-27.871946,2.287763,0.426841,0.200779,-0.021599,-0.026074,-0.074538,-0.111616,-0.177497,-0.115948,-0.274820,-0.010966,-0.025741,0.016616,0.003456,0.051193,0.039401,0.022306,0.010723,0.065953,0.001107,0.006211,0.022639,0.023288,0.002491,0.038463,0.056110,0.031559,0.613798,0.047325,0.032831,0.507527,0.021437,0.096990,3.330548,1.041579,0.761161,0.380573,0.302210,0.288354,0.282264,0.268964,0.306762,0.248371,0.305319,0.236440,0.226841,0.027568,0.006450,0.056867,0.056095,0.025872,0.014826,0.053945,0.001569,0.008432,0.024644,0.021732,0.003996,0.019882,F1
0.064131,0.013019,2.824995,0.142621,0.169511,0.484356,0.027271,0.091101,-29.631369,2.325963,0.160956,0.233778,-0.038751,-0.105975,-0.026612,-0.023397,-0.144351,0.060147,-0.148138,0.058701,-0.030185,0.016921,0.002948,0.070058,0.010862,0.014669,0.007738,0.070306,0.001620,0.008382,0.039735,0.024403,0.004647,0.041688,0.038098,0.015889,0.422126,0.031063,0.028876,0.378246,0.025266,0.067981,2.823838,0.737363,0.753982,0.491951,0.332065,0.247385,0.268363,0.292885,0.200612,0.282865,0.306188,0.271506,0.254374,0.036194,0.004974,0.070207,0.014763,0.018103,0.012823,0.064457,0.002793,0.014608,0.046566,0.025309,0.007116,0.017931,F1
0.096746,0.010704,2.901540,0.173262,0.177004,0.619219,0.015030,0.156889,-28.842147,1.969751,0.451429,0.138517,0.000821,0.057137,0.142848,-0.000346,-0.061625,0.031709,-0.020045,0.138455,0.008273,0.007995,0.002886,0.061350,0.005564,0.011074,0.007827,0.071982,0.002234,0.008938,0.041028,0.012810,0.003365,0.034761,0.093519,0.013094,0.404388,0.066153,0.025141,0.453921,0.009583,0.142412,4.200449,1.026676,0.760147,0.532705,0.353782,0.352294,0.379975,0.247933,0.229815,0.208561,0.172844,0.180280,0.241127,0.008475,0.004361,0.095177,0.006392,0.010468,0.009929,0.061299,0.004086,0.012833,0.037631,0.008497,0.005524,0.023642,F1
0.071433,0.030345,2.840931,0.145313,0.163008,0.540357,0.019800,0.113635,-27.628178,2.428483,0.184957,0.145625,-0.065756,0.014041,-0.021627,-0.099549,-0.146621,-0.021135,-0.206193,0.055245,-0.084346,0.019142,0.002752,0.074382,0.023264,0.014792,0.008988,0.057477,0.002619,0.006963,0.030070,0.020288,0.005953,0.040320,0.049608,0.033005,0.450485,0.047627,0.034279,0.454662,0.015630,0.103074,3.193144,0.971191,0.776964,0.486612,0.400647,0.288039,0.287773,0.301002,0.252117,0.306464,0.258326,0.254266,0.277321,0.029683,0.004931,0.058021,0.033348,0.017434,0.011309,0.052704,0.004641,0.009636,0.036107,0.021206,0.010257,0.018310,F1
0.099253,0.020322,2.716407,0.159641,0.165494,0.656627,0.026374,0.143067,-27.279004,2.207864,0.343075,-0.079477,-0.212794,-0.057735,-0.139895,-0.131592,-0.193624,-0.100023,-0.196893,-0.006553,-0.144713,0.032134,0.004673,0.066218,0.018840,0.014509,0.014480,0.033991,0.003147,0.011003,0.021238,0.020665,0.009262,0.033863,0.071307,0.030139,0.547192,0.056774,0.028873,0.537360,0.026607,0.131964,3.159438,0.929170,0.700397,0.560645,0.446226,0.375577,0.323374,0.381427,0.279616,0.254235,0.303497,0.319360,0.346894,0.040235,0.006500,0.070951,0.036042,0.019177,0.018354,0.032799,0.008729,0.018461,0.030953,0.022245,0.013087,0.019696,F1
0.060654,0.037934,2.856516,0.148668,0.182195,0.424873,0.024303,0.086031,-27.007593,2.557580,0.525390,0.121541,-0.060051,-0.026146,0.047448,-0.012326,-0.133918,0.088022,-0.130446,0.008496,-0.075728,0.012419,0.003613,0.070950,0.014257,0.011463,0.006057,0.053917,0.001207,0.008674,0.057329,0.017799,0.002646,0.040703,0.049244,0.042612,0.420039,0.040693,0.030113,0.517266,0.020174,0.102465,3.283474,0.959190,0.674770,0.479442,0.399048,0.337105,0.280603,0.219642,0.217657,0.251471,0.249765,0.254248,0.200569,0.025673,0.005130,0.083042,0.022536,0.013261,0.008738,0.040916,0.002218,0.011734,0.048073,0.019644,0.004876,0.018440,F1
0.076446,0.019984,2.789235,0.158378,0.177930,0.564448,0.020946,0.119550,-27.788771,2.349435,0.254343,0.010889,-0.234443,0.062568,0.040684,-0.137492,-0.098217,-0.067007,-0.228268,0.019804,-0.100795,0.020346,0.004056,0.074803,0.017172,0.014001,0.013233,0.042017,0.002352,0.007824,0.035787,0.020827,0.005813,0.038787,0.049677,0.027189,0.471544,0.042749,0.031256,0.461998,0.015598,0.109544,2.683473,0.818885,0.706051,0.432587,0.421960,0.301580,0.287272,0.266316,0.247988,0.227041,0.275162,0.251823,0.269525,0.023744,0.006335,0.042002,0.028079,0.016588,0.018317,0.039733,0.004429,0.009523,0.035923,0.023798,0.008382,0.014603,F1
0.084887,0.028513,2.774068,0.151731,0.158582,0.737573,0.019259,0.141604,-26.834044,2.329355,-0.122661,0.057605,-0.119611,-0.067047,0.114089,-0.010216,-0.121012,0.035986,-0.239158,0.040345,-0.107476,0.023826,0.005599,0.060826,0.008208,0.009832,0.009451,0.052207,0.002949,0.007384,0.028418,0.016321,0.012654,0.032630,0.062652,0.031839,0.470356,0.050972,0.036754,0.572727,0.013420,0.118474,3.434090,1.177473,0.983224,0.530586,0.450739,0.345300,0.377886,0.371680,0.299226,0.242207,0.247563,0.266369,0.300593,0.026721,0.008302,0.084501,0.010572,0.010197,0.010601,0.035729,0.004969,0.009662,0.036462,0.016105,0.015339,0.020948,F1
0.085242,0.024440,2.759356,0.156890,0.166646,0.674999,0.018774,0.131804,-27.525804,2.004120,0.190120,0.029383,-0.267945,-0.038780,-0.156812,-0.166232,-0.129860,-0.085135,-0.215950,0.064161,-0.109311,0.030243,0.005724,0.101202,0.013657,0.012562,0.015576,0.044507,0.002338,0.007844,0.012292,0.019841,0.008085,0.042399,0.053137,0.034721,0.594540,0.044709,0.028605,0.522197,0.014454,0.110281,3.136751,0.871093,0.586602,0.467086,0.374735,0.325992,0.294029,0.276690,0.262234,0.207754,0.262882,0.288754,0.310227,0.038012,0.008680,0.066920,0.024382,0.017728,0.019136,0.046797,0.004062,0.012372,0.015934,0.020558,0.011892,0.020345,F1
