@RELATION data/svmMusicGenre3
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE class {Classical,Electronic,Jazz}

@DATA
0.112446,0.006476,3.219206,0.179990,0.183249,1.090445,0.005139,0.184259,-27.494024,1.782910,-0.366474,0.207139,-0.340790,0.031796,-0.089363,0.038872,-0.020534,0.047291,-0.012490,0.012777,-0.016692,0.024120,0.007149,0.030239,0.010048,0.014034,0.017178,0.043906,0.003490,0.007459,0.008197,0.028067,0.014696,0.025691,0.024268,0.003448,0.070655,0.023623,0.018555,0.260495,0.003058,0.045539,0.770813,0.385943,0.263733,0.246777,0.229221,0.224093,0.228424,0.223281,0.223128,0.213585,0.210493,0.203330,0.174153,0.018663,0.007679,0.022106,0.007963,0.011517,0.012625,0.037106,0.003546,0.005743,0.006528,0.014107,0.010728,0.010207,120.000000,0.057870,Classical
0.099878,0.007251,3.219926,0.164911,0.170768,0.962085,0.006400,0.157090,-26.715558,2.067256,-0.436151,0.047104,-0.236356,-0.000250,0.001368,0.051244,-0.042404,0.071623,-0.026359,-0.002229,-0.024973,0.015379,0.024048,0.028117,0.011312,0.013548,0.015458,0.024578,0.003842,0.009419,0.016242,0.018706,0.006028,0.021830,0.021388,0.003962,0.066243,0.020570,0.019551,0.253349,0.003660,0.040389,0.796384,0.411929,0.264593,0.237972,0.234432,0.229517,0.226941,0.238284,0.247687,0.231000,0.223458,0.203453,0.193793,0.013183,0.019750,0.020982,0.010686,0.011016,0.013015,0.016609,0.003763,0.007727,0.012836,0.011864,0.005645,0.007546,171.428571,0.063382,Classical
0.096498,0.004171,3.227837,0.160170,0.166319,0.873736,0.006160,0.146258,-29.094368,1.968352,-0.587803,-0.106898,-0.383253,-0.027785,-0.068450,0.081180,-0.088308,0.018863,-0.025510,-0.026234,0.024423,0.012705,0.012343,0.024298,0.015236,0.017468,0.008774,0.032088,0.003312,0.017849,0.013496,0.018299,0.004599,0.021824,0.018389,0.002052,0.058286,0.019169,0.020302,0.217072,0.003455,0.034019,0.781852,0.360536,0.260974,0.264034,0.235654,0.234972,0.235578,0.234496,0.230806,0.224321,0.215075,0.200013,0.179520,0.011257,0.009751,0.015458,0.011593,0.013689,0.007657,0.021606,0.003570,0.013284,0.010504,0.011771,0.004276,0.008077,171.428571,0.054948,Classical
0.102731,0.011104,3.222105,0.165064,0.168002,1.030779,0.006297,0.161094,-25.719385,1.938232,-0.418395,0.173695,-0.313236,-0.030731,-0.051330,0.100233,-0.093728,0.096284,-0.001271,0.033094,0.028453,0.017871,0.018096,0.029442,0.009639,0.013842,0.023192,0.029290,0.005280,0.006646,0.020656,0.023246,0.006194,0.021814,0.020279,0.005052,0.058816,0.018008,0.017745,0.233780,0.002655,0.037009,0.664065,0.322981,0.232794,0.245767,0.225641,0.214450,0.219638,0.228542,0.239231,0.225807,0.216055,0.192304,0.173838,0.014407,0.016614,0.020222,0.009319,0.010073,0.017040,0.017807,0.005864,0.006200,0.015973,0.015495,0.006434,0.006701,150.000000,0.060516,Classical
0.145391,0.004974,3.205213,0.204328,0.168813,1.421767,0.007829,0.230333,-27.492668,0.621867,-1.184209,-0.494374,-0.726493,-0.279060,-0.175790,0.019870,-0.068531,-0.088089,-0.058143,0.029852,0.035324,0.012300,0.018568,0.011094,0.010948,0.011407,0.015343,0.014917,0.004336,0.008142,0.006604,0.015884,0.005885,0.017475,0.025926,0.002918,0.089504,0.018958,0.015432,0.252490,0.005402,0.045008,0.852622,0.434929,0.325374,0.292201,0.269869,0.252667,0.262630,0.288652,0.299958,0.270030,0.265847,0.223393,0.192823,0.013353,0.019158,0.010667,0.011354,0.012357,0.014927,0.015175,0.005199,0.007948,0.007389,0.014753,0.007169,0.008176,120.000000,0.066667,Classical
0.101568,0.018953,3.228731,0.170808,0.176461,1.067809,0.004869,0.163447,-24.335726,1.939444,-0.332516,0.244468,-0.096241,0.131597,0.007109,0.083951,0.078767,0.095204,0.023711,-0.024038,0.005667,0.020186,0.010382,0.027959,0.011324,0.027997,0.007022,0.029792,0.003635,0.006346,0.013851,0.021885,0.012149,0.019874,0.020815,0.008454,0.058488,0.017468,0.015115,0.233873,0.002814,0.037230,0.711424,0.294571,0.219632,0.201474,0.197448,0.184569,0.185436,0.184186,0.177757,0.183567,0.177641,0.161683,0.163000,0.013707,0.009422,0.018795,0.009128,0.017783,0.004958,0.018151,0.003131,0.005106,0.008950,0.010426,0.010647,0.006219,85.714286,0.053854,Classical
0.085308,0.012354,3.225235,0.147475,0.159726,0.830070,0.005043,0.131493,-26.844377,2.190845,-0.455213,-0.041981,-0.453720,-0.055852,-0.251972,0.006350,0.061494,0.105581,-0.029532,-0.022237,-0.028040,0.023148,0.008076,0.021749,0.013481,0.016122,0.009320,0.032273,0.002583,0.013930,0.016454,0.025333,0.018691,0.021934,0.013806,0.003872,0.048518,0.016161,0.021308,0.180919,0.003029,0.028445,0.389615,0.247138,0.206298,0.213965,0.210071,0.196603,0.202915,0.189488,0.190642,0.187652,0.182700,0.176502,0.166426,0.015011,0.006003,0.013412,0.009697,0.010848,0.006189,0.016824,0.002103,0.008816,0.011131,0.012169,0.013017,0.005965,109.090909,0.053326,Classical
0.088301,0.003868,3.175362,0.147961,0.157751,0.833097,0.009041,0.134366,-28.042445,2.232522,-0.645363,0.064818,-0.533566,-0.016961,0.060656,0.124346,0.057571,0.003119,-0.040724,-0.054640,-0.002383,0.016946,0.019059,0.035185,0.011226,0.012194,0.016520,0.026913,0.003488,0.007192,0.014556,0.022615,0.013044,0.023142,0.019620,0.002417,0.095378,0.019715,0.022889,0.245718,0.005357,0.036235,0.790673,0.362537,0.268114,0.265927,0.239375,0.238872,0.240182,0.234791,0.244459,0.237371,0.232192,0.215495,0.191298,0.014544,0.019207,0.025225,0.010655,0.011086,0.013404,0.019441,0.004435,0.006656,0.012549,0.017022,0.013486,0.008913,85.714286,0.064793,Classical
0.113174,0.004679,3.212940,0.176057,0.174730,1.085681,0.007033,0.194077,-27.145799,1.789443,-0.125372,-0.048617,-0.229143,0.085613,-0.172190,0.150622,0.006753,0.010739,0.010220,0.050501,-0.002774,0.017490,0.010201,0.024734,0.016811,0.016836,0.016615,0.036208,0.002115,0.006851,0.018605,0.030031,0.010041,0.023334,0.031051,0.003073,0.067553,0.023850,0.017898,0.325867,0.004340,0.065880,0.778668,0.368947,0.248237,0.246092,0.239536,0.246698,0.244501,0.249110,0.251016,0.239876,0.244158,0.209978,0.184549,0.015554,0.012906,0.018653,0.015925,0.015517,0.013847,0.028589,0.002260,0.007436,0.015749,0.019383,0.011116,0.008399,120.000000,0.054005,Classical
0.073250,0.016976,3.170432,0.142199,0.166651,0.601150,0.008107,0.107201,-26.838950,2.699765,-0.183458,0.112677,0.000719,0.095939,0.046341,-0.086115,-0.037383,0.154252,-0.013807,-0.012584,-0.116925,0.012289,0.011046,0.028060,0.008438,0.011936,0.013953,0.049930,0.004490,0.012759,0.031659,0.020300,0.006389,0.022575,0.014955,0.006139,0.079949,0.021705,0.024539,0.168892,0.005069,0.026356,0.772011,0.344297,0.233146,0.208893,0.198534,0.195737,0.188685,0.182707,0.181315,0.181900,0.170037,0.159513,0.155446,0.009174,0.009812,0.019445,0.006034,0.008725,0.010667,0.025970,0.003998,0.011046,0.020529,0.012516,0.006335,0.006800,150.000000,0.072210,Classical
