@RELATION data/svmSM
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {speech,music}

@DATA
0.131797,0.006717,2.706925,0.231364,0.213758,0.925211,0.021045,0.195662,-28.312035,1.804061,0.053562,0.011281,-0.275576,0.162752,0.005490,-0.091070,-0.030964,0.014455,-0.093741,0.026693,-0.125692,0.016018,0.003523,0.045915,0.016438,0.017526,0.007768,0.051914,0.004395,0.008545,0.016136,0.021646,0.004267,0.027985,0.122432,0.011779,0.652619,0.106635,0.041674,0.704177,0.018057,0.196972,4.022503,1.276038,0.919390,0.567433,0.419196,0.444223,0.362314,0.306185,0.414464,0.296706,0.357595,0.244012,0.236754,0.020197,0.003486,0.057014,0.025047,0.024943,0.010707,0.073944,0.008407,0.011601,0.024306,0.025021,0.005106,0.021451,speech
0.098874,0.013426,2.619573,0.194802,0.195143,0.763220,0.019127,0.166104,-28.481935,2.079095,0.106869,0.091112,-0.261505,0.198823,0.328166,0.016526,0.099074,0.209276,-0.047659,0.073176,0.007751,0.009180,0.003224,0.025406,0.010617,0.018063,0.013037,0.065230,0.003731,0.008107,0.014033,0.041995,0.005305,0.028083,0.101945,0.014784,0.648858,0.100712,0.038413,0.686156,0.015077,0.183260,4.564865,1.285260,0.826500,0.453353,0.535526,0.409490,0.385361,0.341014,0.369936,0.258717,0.207268,0.208697,0.195930,0.011251,0.004197,0.021934,0.015996,0.020875,0.019177,0.069527,0.006132,0.010543,0.016091,0.038386,0.008412,0.018663,speech
0.171376,0.016787,2.637180,0.283071,0.216060,1.427969,0.010175,0.311386,-27.438715,0.648812,-0.102341,-0.021476,-0.346510,-0.026082,0.103259,-0.068808,-0.087294,-0.110899,-0.164647,0.000734,-0.095823,0.010616,0.005932,0.029633,0.012559,0.009444,0.013543,0.035919,0.005815,0.004974,0.011028,0.014858,0.004176,0.021120,0.111472,0.024428,0.609800,0.095439,0.038652,0.618395,0.006074,0.216396,5.027843,1.089406,1.062309,0.652657,0.467053,0.453072,0.336127,0.417652,0.449769,0.399882,0.266624,0.430793,0.230186,0.012976,0.009198,0.046354,0.019868,0.010337,0.024967,0.068390,0.011919,0.005766,0.016707,0.018453,0.004724,0.019309,speech
0.134887,0.015556,2.686107,0.260408,0.241436,0.968221,0.019081,0.248063,-27.873008,1.689536,0.014945,0.068043,-0.347133,-0.128548,-0.249155,-0.190327,-0.277908,-0.032635,-0.139716,0.032195,-0.123688,0.015694,0.002925,0.034971,0.012810,0.012284,0.024893,0.050707,0.002656,0.021440,0.019588,0.016588,0.006146,0.035365,0.111601,0.024658,0.644351,0.097124,0.040311,0.657163,0.017153,0.231673,3.973209,0.884188,1.092491,0.550679,0.383228,0.382002,0.445829,0.382302,0.393633,0.287190,0.428073,0.425921,0.418483,0.028085,0.004321,0.056424,0.017063,0.015142,0.045248,0.075531,0.004658,0.031981,0.031148,0.021744,0.012060,0.022600,speech
0.076518,0.020973,2.690400,0.179383,0.203994,0.546035,0.023373,0.157500,-27.617820,2.505927,0.715298,0.096213,-0.205661,-0.005407,0.055743,0.012275,-0.035540,0.167776,0.068701,0.087915,0.048745,0.012163,0.002831,0.041620,0.010553,0.025248,0.025099,0.068903,0.001819,0.006021,0.009141,0.046634,0.005915,0.032151,0.077994,0.025220,0.498836,0.077454,0.042204,0.517835,0.022565,0.177103,4.407520,0.882753,0.959467,0.572517,0.631533,0.323378,0.289288,0.191881,0.262277,0.200820,0.205766,0.173666,0.155018,0.017857,0.004138,0.036575,0.014985,0.022693,0.031323,0.085332,0.002851,0.010585,0.009946,0.033015,0.009944,0.020445,speech
0.130534,0.014220,2.489766,0.220618,0.212235,0.850294,0.015802,0.203116,-27.833639,2.320142,0.507381,0.117522,-0.033075,0.034397,0.183999,0.039723,0.016114,0.230327,0.037650,0.123920,0.030828,0.010874,0.002379,0.069840,0.008743,0.022042,0.007985,0.063529,0.003154,0.005817,0.008475,0.033275,0.002428,0.031942,0.133090,0.015539,0.629754,0.129579,0.040090,0.952845,0.011726,0.254337,3.384051,1.321262,1.077678,0.563024,0.476435,0.325958,0.327876,0.238278,0.278115,0.165625,0.176605,0.181442,0.180795,0.012378,0.002998,0.050667,0.011383,0.022314,0.006991,0.093952,0.004785,0.008864,0.009097,0.028789,0.002460,0.023877,speech
0.131185,0.007668,2.877106,0.258081,0.236732,1.017622,0.016073,0.253500,-31.150377,1.582419,0.529733,0.216481,-0.138139,-0.215002,0.018005,0.084913,-0.137572,0.127574,-0.093791,0.082236,-0.135900,0.012593,0.002822,0.032856,0.008362,0.011152,0.006192,0.111997,0.002926,0.004221,0.019975,0.025286,0.007361,0.039654,0.102258,0.009517,0.383905,0.088479,0.033738,0.481012,0.015294,0.161697,3.009008,0.846444,0.878926,0.665362,0.401081,0.318965,0.261597,0.254628,0.248521,0.347262,0.189050,0.263731,0.262297,0.016887,0.003600,0.021233,0.015836,0.011904,0.008844,0.056910,0.004642,0.004159,0.029995,0.019987,0.014759,0.016292,speech
0.154457,0.008212,2.662507,0.264170,0.212876,1.358207,0.013506,0.286896,-28.529023,1.001055,0.225134,-0.017792,-0.544923,-0.169876,-0.066749,-0.072388,-0.534224,0.066651,-0.215623,0.041046,0.020854,0.007131,0.004027,0.024249,0.012694,0.018402,0.016260,0.049633,0.006550,0.007442,0.010703,0.019735,0.003725,0.025298,0.109998,0.011774,0.597894,0.090969,0.040423,0.547496,0.008776,0.176064,4.788478,0.841370,0.718114,1.025839,0.484599,0.365353,0.399271,0.294088,0.417919,0.312739,0.446644,0.388198,0.345887,0.008635,0.006108,0.028813,0.014047,0.024036,0.021198,0.104988,0.008754,0.009378,0.011485,0.023941,0.006059,0.025601,speech
0.172778,0.012036,2.841144,0.285565,0.236032,1.262158,0.017542,0.280875,-27.333989,1.438547,0.038944,0.253744,-0.182709,-0.075174,-0.103261,-0.203705,-0.284367,-0.232019,-0.406223,-0.159204,-0.333464,0.026441,0.005642,0.047799,0.028921,0.022906,0.013314,0.023727,0.002945,0.004732,0.006050,0.019111,0.002662,0.029783,0.163095,0.016699,0.403263,0.130308,0.034051,0.792741,0.014423,0.253056,3.711268,1.148493,0.987801,0.377763,0.490515,0.493367,0.333464,0.406933,0.315040,0.317005,0.440342,0.321358,0.322679,0.036475,0.008262,0.055802,0.045616,0.031310,0.021153,0.038804,0.004655,0.005690,0.004637,0.025896,0.002220,0.018395,speech
0.161259,0.012682,2.535685,0.250704,0.219066,1.049320,0.016133,0.243817,-28.576188,1.523989,-0.139831,0.070963,-0.107843,0.122274,-0.050561,-0.094156,-0.067485,0.028776,-0.174196,-0.072187,-0.142728,0.015038,0.006952,0.032839,0.016082,0.013806,0.009691,0.039467,0.004443,0.013165,0.017792,0.020626,0.006387,0.024883,0.155486,0.020202,0.563302,0.122338,0.043951,0.780056,0.010706,0.239755,4.504520,1.316531,1.197267,0.573715,0.496850,0.379429,0.346329,0.370835,0.315564,0.274830,0.330135,0.319138,0.246397,0.020288,0.010467,0.042762,0.025087,0.021414,0.016904,0.076498,0.006183,0.021274,0.026180,0.021673,0.006276,0.022039,speech
