@RELATION knnSpeaker
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {bbc_sp_1,jimcarrey,F2,M3,bbc_sp_4,thodoris,dw_sp04,psomiadis,TI,M5,letterman1,M1,M4,tv_aytias,billmarrey,dw_spk02,F3,lusa_spk01,dw_spk01,bbc_sp_2,F5,lusa_spk04,lusa_spk03}

@DATA
0.144869,0.023613,2.875377,0.252340,0.249796,0.889904,0.012936,0.226375,-27.083262,2.133139,0.380680,0.196165,-0.029438,0.364008,0.157275,-0.074135,0.106820,0.061085,0.045774,0.031119,0.072849,0.015396,0.003742,0.044754,0.005367,0.025412,0.005813,0.050871,0.001796,0.006461,0.016982,0.048315,0.003048,0.027843,0.135332,0.028950,0.428531,0.109509,0.048700,0.692001,0.007999,0.245602,4.363612,0.899497,0.705370,0.528597,0.411787,0.489744,0.426425,0.252037,0.274022,0.297535,0.277217,0.260280,0.245648,0.019703,0.006655,0.042575,0.005923,0.029694,0.008030,0.051962,0.002190,0.010974,0.016063,0.054106,0.005120,0.016674,bbc_sp_1
0.091185,0.049674,2.923548,0.204485,0.229669,0.631629,0.019605,0.142500,-23.838558,2.821990,0.735566,0.203560,0.063825,-0.144690,-0.026707,-0.010405,0.050963,0.273488,-0.238434,0.163783,-0.151284,0.013903,0.001958,0.036483,0.008211,0.028476,0.006184,0.024269,0.000570,0.007447,0.037627,0.067718,0.005229,0.032321,0.082426,0.030978,0.279555,0.095935,0.043669,0.655365,0.010669,0.207001,1.183462,0.905580,0.854604,0.476126,0.608319,0.421771,0.315525,0.285819,0.239886,0.218128,0.236518,0.150591,0.244512,0.013105,0.002007,0.041773,0.007798,0.033153,0.008447,0.030278,0.000476,0.009148,0.046049,0.061493,0.011200,0.012389,bbc_sp_1
0.148579,0.044932,2.978329,0.238286,0.217055,0.829988,0.014178,0.214048,-24.469560,2.185763,1.128665,0.298976,-0.136827,0.261646,-0.001080,-0.134546,0.320752,0.321903,-0.196269,0.103254,-0.028733,0.017919,0.002521,0.058582,0.006530,0.031545,0.009150,0.053773,0.000626,0.005029,0.010161,0.037733,0.002694,0.032858,0.183658,0.028784,0.217371,0.163694,0.037851,0.792364,0.012147,0.287835,2.038345,1.119468,0.701520,0.489918,0.611330,0.255795,0.429269,0.326893,0.312915,0.200901,0.258415,0.226435,0.275801,0.017074,0.002337,0.058486,0.007701,0.038496,0.020140,0.073906,0.000716,0.006035,0.010644,0.041531,0.002773,0.018146,bbc_sp_1
0.141990,0.021118,2.833034,0.215982,0.201753,0.901214,0.013440,0.220375,-25.334834,2.484130,0.174771,0.575074,0.129730,0.104434,0.101211,-0.136004,0.184082,0.307423,-0.105731,0.227727,0.014638,0.008146,0.002516,0.023077,0.003311,0.010976,0.010014,0.089581,0.001383,0.002500,0.017571,0.068207,0.002108,0.033502,0.161456,0.012542,0.455032,0.160392,0.048831,0.902012,0.009780,0.278496,1.772816,1.254096,0.906169,0.399842,0.612184,0.285745,0.323811,0.261801,0.308438,0.234394,0.210186,0.240725,0.144012,0.005767,0.002699,0.018085,0.003258,0.012828,0.009017,0.068726,0.001989,0.002590,0.016866,0.053189,0.001849,0.016790,bbc_sp_1
0.216029,0.022579,2.711152,0.297421,0.224337,1.362798,0.009434,0.333839,-25.848660,1.412393,0.498196,0.396192,-0.377134,0.256671,0.223767,-0.228886,0.248790,0.182616,-0.126785,0.072926,0.006571,0.010856,0.003645,0.024400,0.005532,0.021755,0.010055,0.034888,0.001742,0.006589,0.018119,0.029987,0.002633,0.016826,0.168064,0.026113,0.553439,0.166196,0.040992,0.962264,0.006190,0.294068,3.017279,1.571108,0.647093,0.451455,0.479507,0.309042,0.262688,0.340837,0.272374,0.189600,0.258684,0.198688,0.204530,0.011372,0.003894,0.029961,0.005745,0.025942,0.017295,0.036659,0.001702,0.006597,0.023447,0.030700,0.001941,0.012980,bbc_sp_1
0.205906,0.023158,2.794108,0.296817,0.235465,1.182151,0.014445,0.351574,-26.025377,1.912445,0.838098,0.590659,-0.112597,0.084894,0.123405,-0.111472,0.101666,0.385505,-0.147699,0.105323,0.111321,0.010781,0.001869,0.030924,0.004137,0.022429,0.006280,0.066789,0.000765,0.004438,0.016366,0.039572,0.001620,0.024607,0.200206,0.028048,0.416916,0.186394,0.042449,1.041367,0.010081,0.346611,2.191947,1.524842,0.800571,0.354689,0.532821,0.251182,0.392876,0.290322,0.315616,0.245480,0.225899,0.222017,0.176694,0.013703,0.002551,0.035434,0.005233,0.023204,0.007195,0.057364,0.000910,0.004572,0.017003,0.035754,0.002113,0.016010,bbc_sp_1
0.169177,0.026964,2.783313,0.276017,0.244068,0.962545,0.017301,0.256379,-25.678168,2.346542,0.521779,0.627636,0.115671,0.100345,0.184859,-0.104885,0.039442,0.280311,-0.024878,0.116662,0.092376,0.010131,0.001279,0.021054,0.004871,0.025692,0.007964,0.060903,0.001619,0.004221,0.021604,0.050002,0.001915,0.026256,0.180390,0.025052,0.389373,0.174264,0.049339,0.942051,0.012465,0.324345,2.495543,1.094393,0.991247,0.396266,0.495945,0.357564,0.475055,0.219310,0.278955,0.277892,0.262226,0.186882,0.251283,0.011261,0.001838,0.015740,0.006119,0.033128,0.009479,0.052180,0.003132,0.004216,0.020539,0.046841,0.002475,0.013811,bbc_sp_1
0.133861,0.047429,2.809113,0.216718,0.205358,0.830491,0.011120,0.197841,-23.342427,2.444600,0.373705,0.297187,-0.183011,0.149165,0.344780,-0.171875,0.164621,0.275927,-0.045253,0.075094,-0.026975,0.013985,0.002407,0.036937,0.008106,0.040113,0.008672,0.032098,0.002657,0.007093,0.019292,0.031579,0.007130,0.021861,0.161298,0.025848,0.429821,0.141939,0.039868,0.730805,0.005164,0.258909,1.779626,1.018367,1.050441,0.530506,0.588933,0.417355,0.402785,0.240617,0.271083,0.169656,0.207243,0.188543,0.198231,0.014134,0.001880,0.034005,0.007600,0.034533,0.008783,0.027246,0.003085,0.012096,0.016391,0.031507,0.011175,0.008971,bbc_sp_1
0.062203,0.060019,2.999101,0.149141,0.196061,0.441594,0.021982,0.089750,-23.930621,3.211113,0.046807,0.403891,0.204753,0.047343,0.355287,-0.173603,0.063086,0.188593,-0.134967,-0.025177,-0.084712,0.014508,0.003021,0.052905,0.009108,0.049369,0.008065,0.045098,0.003199,0.004310,0.027909,0.024229,0.002856,0.035140,0.061933,0.036347,0.458970,0.062448,0.043478,0.452562,0.019585,0.061425,1.805837,1.067668,0.761928,0.581355,0.422573,0.370027,0.393255,0.279760,0.172587,0.232280,0.250555,0.280367,0.241353,0.014683,0.004382,0.061731,0.011987,0.056777,0.009995,0.054339,0.005415,0.004214,0.038655,0.027801,0.002959,0.012502,bbc_sp_1
0.084082,0.043172,2.858197,0.177759,0.204538,0.677119,0.014295,0.114432,-24.337588,2.140873,0.668449,0.399153,-0.276784,0.427388,0.047547,-0.154245,0.110480,0.260399,-0.062529,0.081184,-0.084817,0.027871,0.001624,0.058304,0.003255,0.012421,0.007913,0.041764,0.002352,0.005866,0.027286,0.057956,0.005192,0.033042,0.062092,0.034286,0.415660,0.050363,0.038473,0.564169,0.006935,0.087275,2.984202,0.949006,0.836672,0.535414,0.411633,0.248437,0.255191,0.431076,0.198044,0.239456,0.205809,0.252894,0.274632,0.039388,0.001762,0.056437,0.003028,0.018160,0.006801,0.050248,0.003919,0.006681,0.030287,0.042886,0.006649,0.013193,bbc_sp_1
