@RELATION knnSpeakerFemaleMale
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {female,male}

@DATA
0.080382,0.045985,2.995982,0.180465,0.195578,0.677192,0.015990,0.141511,-25.441668,2.510794,-0.132790,-0.100473,-0.286319,-0.146101,-0.145286,-0.105044,-0.035235,0.076719,0.131668,0.229465,-0.161704,0.015777,0.002701,0.026034,0.001436,0.003654,0.016897,0.000929,0.010645,0.052705,0.003117,0.060753,0.002745,0.029439,0.070588,0.030420,0.263127,0.081080,0.040769,0.667625,0.014735,0.156392,2.659331,1.041507,0.850177,0.452408,0.412827,0.444870,0.317573,0.389360,0.300954,0.284617,0.312593,0.296487,0.309567,0.018907,0.007249,0.029711,0.003012,0.005346,0.021753,0.001573,0.020590,0.056985,0.005780,0.040394,0.005579,0.010411,female
0.113761,0.048920,2.915220,0.202858,0.201234,0.786135,0.014145,0.179801,-25.013047,2.462946,-0.229372,-0.284706,-0.139610,-0.099075,0.028071,0.137118,-0.098344,0.011177,0.012966,0.206487,-0.154149,0.015360,0.002949,0.024897,0.001873,0.012215,0.023673,0.001660,0.014175,0.042623,0.002980,0.043640,0.002655,0.024493,0.143161,0.033081,0.369107,0.117236,0.041616,0.730216,0.011079,0.228756,2.232192,1.084875,1.062486,0.514301,0.473536,0.396284,0.377379,0.361627,0.305523,0.369728,0.273721,0.279202,0.274452,0.027202,0.004670,0.022268,0.003241,0.015318,0.029549,0.004564,0.020604,0.047013,0.005591,0.033657,0.005211,0.010975,female
0.180904,0.042268,3.035495,0.262640,0.220424,1.435503,0.013527,0.314931,-26.250134,1.523878,0.041383,0.080814,-0.521664,-0.195061,-0.146286,-0.104112,-0.033670,-0.167501,0.024798,0.122722,-0.067437,0.014109,0.003918,0.028455,0.002450,0.009769,0.029445,0.001752,0.004170,0.026963,0.002907,0.039941,0.004215,0.023339,0.141623,0.047015,0.338204,0.117026,0.048059,0.786235,0.012519,0.238684,3.419021,0.932351,0.754194,0.474434,0.459484,0.377660,0.323590,0.436122,0.447947,0.345553,0.387934,0.350636,0.288646,0.014834,0.008083,0.034138,0.004759,0.019549,0.031531,0.004102,0.003857,0.040465,0.003705,0.041648,0.004681,0.011474,female
0.203706,0.036306,2.999723,0.286481,0.222098,0.942327,0.019853,0.284598,-26.243460,2.187082,0.565275,0.018823,-0.308816,-0.239423,-0.287613,-0.009560,0.009807,0.107895,0.087124,0.201361,-0.021495,0.010028,0.001460,0.026345,0.001070,0.003257,0.019256,0.000940,0.002141,0.039731,0.002099,0.063210,0.002436,0.025876,0.244285,0.037649,0.238668,0.200673,0.049567,0.831193,0.013733,0.334033,2.357592,1.334529,0.783906,0.517453,0.384421,0.309734,0.344401,0.321479,0.322490,0.331703,0.369612,0.296784,0.265283,0.011576,0.002800,0.030029,0.001823,0.004950,0.023468,0.001918,0.003713,0.039714,0.003221,0.053575,0.005072,0.013031,female
0.140568,0.044385,3.011020,0.226623,0.204730,1.003028,0.021311,0.220437,-26.162876,1.936144,0.453629,-0.174794,-0.357103,-0.233141,-0.130067,0.103126,-0.102526,0.075622,-0.046286,0.133200,-0.113422,0.014992,0.001407,0.032104,0.001896,0.006169,0.026223,0.001269,0.004531,0.026038,0.002579,0.062558,0.002461,0.027171,0.148775,0.043390,0.324052,0.111395,0.040312,0.888804,0.026412,0.226727,3.238794,1.212845,0.756889,0.651959,0.407399,0.443458,0.369073,0.344232,0.280813,0.338180,0.410119,0.383304,0.257834,0.018687,0.002244,0.034722,0.005734,0.008182,0.034026,0.002293,0.007899,0.032789,0.004726,0.066297,0.004428,0.016116,female
0.122864,0.043299,2.988811,0.213717,0.203669,0.813379,0.015760,0.197077,-26.235591,2.229415,0.370916,-0.182938,-0.484902,-0.088858,-0.032554,0.216568,-0.076139,0.051264,0.141906,0.166828,-0.065692,0.007376,0.001299,0.033379,0.001354,0.010548,0.016416,0.001241,0.008894,0.037859,0.001504,0.067262,0.001278,0.028300,0.139354,0.039320,0.240386,0.110983,0.038418,0.746676,0.015616,0.221827,3.183014,1.014965,0.888012,0.526416,0.480825,0.531424,0.399138,0.421939,0.373083,0.230556,0.312728,0.253896,0.247800,0.007080,0.002331,0.033011,0.002594,0.013663,0.015611,0.002270,0.020174,0.045335,0.002789,0.057550,0.002212,0.013564,female
0.239588,0.039163,3.022765,0.308208,0.212158,1.133936,0.013843,0.340960,-27.059740,1.721346,0.337079,0.191883,-0.404147,-0.232388,-0.240500,0.001612,0.049120,0.030504,0.227544,0.101033,-0.016660,0.013394,0.003897,0.017251,0.001613,0.004402,0.014333,0.000818,0.003091,0.029045,0.002604,0.062387,0.001834,0.022581,0.265841,0.039672,0.282815,0.211277,0.045705,0.816465,0.009850,0.329345,3.562521,1.330429,0.723395,0.497055,0.317451,0.533612,0.324801,0.325386,0.252173,0.289330,0.261027,0.299494,0.201798,0.014346,0.006914,0.019019,0.002627,0.006676,0.017421,0.001223,0.003642,0.042599,0.006372,0.048426,0.002706,0.013386,female
0.097027,0.038717,2.916901,0.187797,0.200003,0.575839,0.017749,0.168448,-25.846447,2.860026,0.172474,0.146753,-0.379313,-0.128335,-0.215684,-0.025201,-0.230914,-0.048940,0.021714,0.135113,-0.038583,0.007575,0.001108,0.016983,0.000835,0.005263,0.027859,0.000844,0.005278,0.075273,0.001596,0.054682,0.001264,0.028107,0.125483,0.030009,0.271430,0.122536,0.056438,0.576289,0.013448,0.227463,2.334341,0.811252,0.875575,0.517009,0.579652,0.519996,0.372262,0.364897,0.281969,0.308918,0.354714,0.252261,0.220573,0.007965,0.001724,0.014490,0.002007,0.009076,0.024171,0.002033,0.010036,0.044453,0.002537,0.030092,0.002026,0.008809,female
0.183109,0.019331,2.741832,0.264342,0.216670,1.030223,0.019937,0.293107,-27.567734,2.158264,0.028217,0.071120,-0.237422,0.083964,0.073420,0.080198,-0.016225,-0.035881,0.122113,0.175638,-0.051428,0.007351,0.003347,0.025912,0.001302,0.008855,0.023657,0.002009,0.007307,0.031353,0.004230,0.059424,0.001625,0.022938,0.196339,0.022097,0.405441,0.171749,0.054380,0.880266,0.013081,0.305460,3.431044,1.353592,0.869032,0.449220,0.404036,0.370994,0.344437,0.375030,0.333420,0.328900,0.282480,0.237016,0.269078,0.012176,0.008070,0.025702,0.001566,0.016024,0.022383,0.003674,0.010690,0.031885,0.010172,0.048843,0.001984,0.012809,female
0.196672,0.023824,2.970484,0.268151,0.205102,1.090507,0.017434,0.279423,-27.256493,1.750488,0.161172,-0.202262,-0.126737,0.065834,-0.030271,0.211090,-0.123518,-0.034360,0.162354,0.071002,0.005308,0.006814,0.002607,0.020551,0.004277,0.012491,0.026029,0.000935,0.005435,0.030658,0.005969,0.053567,0.002315,0.024098,0.212588,0.026315,0.256400,0.170876,0.040433,0.888862,0.019968,0.269895,3.267543,1.493551,0.739760,0.494075,0.478514,0.408241,0.343856,0.341017,0.424383,0.263883,0.359526,0.239280,0.229806,0.005644,0.003463,0.024306,0.009050,0.022983,0.030117,0.001294,0.007909,0.040845,0.017754,0.051269,0.003999,0.013845,female
