@RELATION data/gbSM
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {speech,music}

@DATA
0.099896,0.034467,3.129961,0.178117,0.196030,0.444762,0.012463,0.138917,-24.470585,2.904793,-0.290597,-0.570142,-0.286637,0.184236,-0.250713,-0.359901,-0.011568,0.158033,-0.083864,-0.235831,-0.310822,0.010173,0.009398,0.010783,0.009625,0.007905,0.010822,0.052664,0.004214,0.014427,0.029028,0.022940,0.003097,0.023852,0.041500,0.020363,0.107612,0.048656,0.030499,0.316602,0.004853,0.089742,1.155248,0.500185,0.542446,0.342480,0.307318,0.249000,0.196145,0.212665,0.229384,0.164932,0.186400,0.194562,0.133815,0.007548,0.007681,0.008672,0.018325,0.007492,0.012028,0.042302,0.006579,0.014480,0.024081,0.023480,0.003614,0.013383,speech
0.085544,0.036608,3.137771,0.159651,0.197651,0.581489,0.014343,0.120778,-25.198349,3.146958,-0.297995,-0.361910,0.001267,-0.527014,0.131627,-0.310670,-0.039156,-0.276837,-0.284271,-0.249364,-0.124712,0.036069,0.006533,0.034864,0.016333,0.018680,0.024285,0.019226,0.003151,0.014637,0.012326,0.021083,0.009425,0.022018,0.029114,0.027747,0.179153,0.030556,0.027575,0.308725,0.009387,0.067788,1.053306,0.587999,0.404508,0.360850,0.332914,0.263313,0.321303,0.351321,0.253610,0.212959,0.270969,0.245386,0.222527,0.032852,0.007140,0.030981,0.022455,0.018720,0.026403,0.014541,0.004810,0.017996,0.010220,0.024868,0.007089,0.008844,speech
0.100318,0.018608,3.169111,0.175042,0.189103,0.762553,0.011504,0.145603,-25.545370,2.677215,-0.450330,-0.834445,-0.164415,-0.270645,-0.091327,0.176842,0.034267,-0.103584,-0.435061,-0.316594,-0.212811,0.056066,0.024031,0.023648,0.008298,0.014373,0.013954,0.015763,0.001339,0.005582,0.009351,0.010436,0.015750,0.021624,0.043805,0.025525,0.098206,0.045553,0.029661,0.357913,0.009424,0.120074,1.012060,0.450448,0.459237,0.311674,0.340186,0.260571,0.221502,0.270957,0.218600,0.243179,0.238349,0.201912,0.209666,0.044370,0.022021,0.018269,0.008246,0.013196,0.017039,0.013257,0.001453,0.004867,0.011150,0.009219,0.011568,0.009154,speech
0.091641,0.036341,3.210006,0.182343,0.198950,0.682056,0.011039,0.118073,-25.035351,2.651139,0.230649,-0.503049,0.273205,-0.577759,-0.005900,-0.082842,-0.119549,0.264645,-0.512893,-0.213928,-0.451071,0.028856,0.012130,0.021290,0.007310,0.005772,0.005972,0.007774,0.001493,0.013224,0.016184,0.080734,0.008733,0.029446,0.039935,0.033970,0.124097,0.042902,0.030969,0.347787,0.006743,0.098611,1.442464,0.553130,0.536542,0.478484,0.363747,0.347590,0.258831,0.201194,0.265563,0.305696,0.238692,0.274615,0.194789,0.029252,0.019257,0.025937,0.008681,0.006203,0.008967,0.007507,0.001766,0.014074,0.011529,0.054223,0.010443,0.010152,speech
0.128673,0.020793,3.098848,0.206739,0.210539,0.838302,0.010150,0.188225,-25.090363,2.695495,-0.200379,-0.569879,-0.319213,-0.913104,0.197721,-0.036584,-0.129511,-0.044419,-0.229738,-0.105530,-0.114146,0.020285,0.011830,0.015311,0.010733,0.013500,0.013581,0.014786,0.001346,0.013039,0.020092,0.034098,0.016884,0.016579,0.060359,0.024207,0.156020,0.065023,0.035174,0.467925,0.006841,0.139979,1.373705,0.498702,0.397703,0.300309,0.327718,0.304233,0.301389,0.267528,0.285156,0.215779,0.183651,0.182628,0.207243,0.017607,0.010574,0.014341,0.009481,0.010660,0.013344,0.010417,0.001735,0.012335,0.014978,0.026042,0.016638,0.006001,speech
0.087531,0.065978,3.206206,0.164351,0.176062,0.648594,0.010415,0.126891,-22.236798,2.211342,-0.419477,-0.461410,-0.430328,-0.336173,-0.022620,-0.176802,-0.072657,0.014378,-0.246250,-0.083756,-0.208464,0.015710,0.008267,0.012284,0.013656,0.010848,0.018386,0.013097,0.001857,0.013094,0.017836,0.039846,0.012339,0.017291,0.021950,0.031353,0.088358,0.017949,0.022758,0.229077,0.005636,0.051785,0.878311,0.446092,0.589033,0.271711,0.377934,0.210723,0.266316,0.274116,0.226765,0.193982,0.222667,0.155825,0.180703,0.016809,0.014983,0.009803,0.012702,0.011316,0.016973,0.009618,0.001626,0.014617,0.011184,0.032537,0.017886,0.007082,speech
0.130246,0.046771,3.182465,0.221510,0.221209,0.862996,0.011095,0.217458,-23.248329,2.116132,0.327658,-0.625331,-0.210324,-0.220624,-0.193749,-0.281682,0.008958,0.185865,-0.158273,-0.185925,-0.256525,0.031841,0.008429,0.008132,0.019898,0.008313,0.017576,0.014405,0.002422,0.014008,0.027233,0.041537,0.011395,0.023807,0.082522,0.030760,0.116286,0.077216,0.040763,0.667196,0.006250,0.174810,0.756064,0.758207,0.642376,0.247880,0.307467,0.229845,0.241952,0.190447,0.202033,0.194048,0.180129,0.205224,0.195496,0.026447,0.009495,0.008906,0.028063,0.008126,0.022020,0.014023,0.003611,0.016042,0.021735,0.035701,0.010695,0.013411,speech
0.100353,0.044917,3.185647,0.169711,0.173780,0.868923,0.013128,0.146884,-23.341944,1.858836,-0.674036,-0.667475,-0.170989,-0.413075,-0.329762,-0.424135,-0.392537,-0.110751,-0.187638,-0.223066,-0.195900,0.016983,0.009253,0.012647,0.011089,0.012995,0.050814,0.020297,0.006336,0.007756,0.011793,0.024788,0.010415,0.021630,0.037731,0.043184,0.147800,0.028731,0.024008,0.512575,0.010182,0.085317,0.853738,0.820743,0.498798,0.489842,0.416479,0.351219,0.328845,0.206032,0.262873,0.220119,0.255686,0.272597,0.250814,0.014361,0.017134,0.016044,0.011847,0.011016,0.063926,0.028544,0.006743,0.006014,0.009847,0.025881,0.009023,0.016821,speech
0.097997,0.058514,3.162894,0.169073,0.170922,0.878428,0.011048,0.146455,-22.280076,2.032499,-0.955168,-0.186444,0.019937,-0.143117,-0.125938,-0.329564,0.021901,-0.055343,0.081391,-0.183238,-0.116186,0.010803,0.007590,0.009524,0.017585,0.011849,0.012903,0.025193,0.006545,0.024618,0.021149,0.022870,0.008787,0.018081,0.018632,0.036405,0.141259,0.023254,0.021314,0.208489,0.004772,0.043143,0.583577,0.467178,0.532498,0.448327,0.348017,0.353569,0.315024,0.250252,0.295304,0.192702,0.201139,0.222809,0.282581,0.011764,0.006346,0.010444,0.027194,0.014007,0.021255,0.023827,0.008143,0.030766,0.013483,0.018525,0.010110,0.008311,speech
0.114148,0.049132,3.173682,0.198801,0.192835,1.003954,0.012202,0.163156,-22.559631,1.660248,-0.447246,-0.020942,-0.414445,-0.338191,-0.201261,-0.269658,-0.003557,-0.061388,-0.095785,-0.334541,-0.524977,0.043966,0.010491,0.022861,0.007202,0.005560,0.009377,0.011853,0.003956,0.019833,0.018406,0.028117,0.010532,0.023074,0.050539,0.033236,0.134875,0.038411,0.024883,0.552230,0.008366,0.098205,0.612754,0.650183,0.484300,0.326518,0.318085,0.297754,0.307146,0.274753,0.233464,0.298470,0.218787,0.280705,0.328784,0.058061,0.014309,0.030897,0.008567,0.005449,0.011577,0.013161,0.006602,0.024652,0.024213,0.030434,0.011289,0.016257,speech
