@RELATION svm_rbf_sm
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {speech,music}

@DATA
0.099896,0.034467,3.129961,0.178117,0.196030,0.444762,0.012463,0.138917,-24.470585,2.904793,-0.290597,-0.570142,-0.286637,0.184236,-0.250713,-0.359901,-0.011568,0.158033,-0.083864,-0.235831,-0.310822,0.010173,0.009398,0.010783,0.009625,0.007905,0.010822,0.052664,0.004214,0.014427,0.029028,0.022940,0.003097,0.023852,-0.003922,0.002939,-0.024195,-0.008116,-0.008595,-0.032847,0.002070,0.000958,0.080953,-0.044781,-0.226798,0.035654,0.119480,0.025363,-0.056063,0.026981,0.012809,0.120885,-0.091210,-0.062261,-0.003640,0.000283,0.000603,-0.000748,-0.001417,-0.000981,-0.002270,-0.007996,-0.000426,0.000323,0.015026,-0.000377,-0.001841,0.001959,0.041500,0.020363,0.107612,0.048656,0.030499,0.316602,0.004853,0.089742,1.155248,0.500185,0.542446,0.342480,0.307318,0.249000,0.196145,0.212665,0.229384,0.164932,0.186400,0.194562,0.133815,0.007548,0.007681,0.008672,0.018325,0.007492,0.012028,0.042302,0.006579,0.014480,0.024081,0.023480,0.003614,0.013383,0.041395,0.023070,0.121177,0.055264,0.046606,0.361441,0.007455,0.083213,0.969323,0.581044,0.312206,0.316127,0.359087,0.258942,0.321119,0.226681,0.233235,0.263196,0.235846,0.165302,0.157217,0.010706,0.012144,0.009485,0.023747,0.010603,0.016643,0.032497,0.007434,0.018850,0.025326,0.028655,0.006634,0.012221,speech
0.085544,0.036608,3.137771,0.159651,0.197651,0.581489,0.014343,0.120778,-25.198349,3.146958,-0.297995,-0.361910,0.001267,-0.527014,0.131627,-0.310670,-0.039156,-0.276837,-0.284271,-0.249364,-0.124712,0.036069,0.006533,0.034864,0.016333,0.018680,0.024285,0.019226,0.003151,0.014637,0.012326,0.021083,0.009425,0.022018,0.000765,-0.000078,0.002253,0.000071,0.000127,0.000682,0.000050,0.006472,-0.041066,0.023248,0.037747,-0.002044,0.001042,-0.009354,-0.004591,0.000898,0.006415,-0.000549,-0.004415,-0.004016,0.005830,0.000625,-0.000035,0.000139,0.000296,-0.001409,0.000392,-0.000052,-0.000039,-0.000243,-0.000467,0.000059,0.000033,-0.000321,0.029114,0.027747,0.179153,0.030556,0.027575,0.308725,0.009387,0.067788,1.053306,0.587999,0.404508,0.360850,0.332914,0.263313,0.321303,0.351321,0.253610,0.212959,0.270969,0.245386,0.222527,0.032852,0.007140,0.030981,0.022455,0.018720,0.026403,0.014541,0.004810,0.017996,0.010220,0.024868,0.007089,0.008844,0.029493,0.026221,0.264475,0.030063,0.033299,0.271948,0.011322,0.061865,0.762586,0.555726,0.390582,0.340163,0.416933,0.344369,0.380153,0.416027,0.294293,0.246265,0.267338,0.263462,0.256796,0.045046,0.009476,0.033599,0.028973,0.025354,0.035745,0.017139,0.005925,0.028853,0.012672,0.034467,0.011621,0.009270,speech
0.100318,0.018608,3.169111,0.175042,0.189103,0.762553,0.011504,0.145603,-25.545370,2.677215,-0.450330,-0.834445,-0.164415,-0.270645,-0.091327,0.176842,0.034267,-0.103584,-0.435061,-0.316594,-0.212811,0.056066,0.024031,0.023648,0.008298,0.014373,0.013954,0.015763,0.001339,0.005582,0.009351,0.010436,0.015750,0.021624,0.000039,0.000000,0.001182,0.000723,0.000334,0.005797,0.000126,-0.000853,0.028782,-0.020398,-0.005010,0.005966,-0.014600,0.001649,-0.002071,-0.014722,0.003682,0.011161,-0.008122,0.003389,0.001576,0.001074,0.000378,-0.000488,-0.000098,-0.001119,0.000630,-0.000247,0.000014,-0.000064,0.000202,0.000036,0.000352,0.000016,0.043805,0.025525,0.098206,0.045553,0.029661,0.357913,0.009424,0.120074,1.012060,0.450448,0.459237,0.311674,0.340186,0.260571,0.221502,0.270957,0.218600,0.243179,0.238349,0.201912,0.209666,0.044370,0.022021,0.018269,0.008246,0.013196,0.017039,0.013257,0.001453,0.004867,0.011150,0.009219,0.011568,0.009154,0.048559,0.026765,0.116761,0.043421,0.033851,0.433598,0.010003,0.131787,0.703582,0.426460,0.459199,0.343334,0.312360,0.302463,0.285550,0.338513,0.263899,0.302023,0.224417,0.289731,0.230542,0.055915,0.027394,0.025490,0.009642,0.015238,0.018022,0.012099,0.002154,0.006263,0.011724,0.011677,0.011776,0.011553,speech
0.091641,0.036341,3.210006,0.182343,0.198950,0.682056,0.011039,0.118073,-25.035351,2.651139,0.230649,-0.503049,0.273205,-0.577759,-0.005900,-0.082842,-0.119549,0.264645,-0.512893,-0.213928,-0.451071,0.028856,0.012130,0.021290,0.007310,0.005772,0.005972,0.007774,0.001493,0.013224,0.016184,0.080734,0.008733,0.029446,0.000777,-0.000005,-0.000055,0.000746,0.001012,0.001609,0.000130,0.000948,-0.032069,0.019074,-0.003179,0.001597,0.019653,-0.011185,0.008864,0.000648,-0.015301,0.002971,-0.009860,-0.008537,0.010748,0.000008,-0.000029,0.000325,-0.000032,-0.000004,-0.000056,-0.000039,-0.000003,-0.000038,-0.000385,0.000437,-0.000024,0.000122,0.039935,0.033970,0.124097,0.042902,0.030969,0.347787,0.006743,0.098611,1.442464,0.553130,0.536542,0.478484,0.363747,0.347590,0.258831,0.201194,0.265563,0.305696,0.238692,0.274615,0.194789,0.029252,0.019257,0.025937,0.008681,0.006203,0.008967,0.007507,0.001766,0.014074,0.011529,0.054223,0.010443,0.010152,0.049209,0.027516,0.170771,0.047001,0.029245,0.402276,0.008331,0.139479,0.950032,0.598249,0.478846,0.365937,0.404800,0.437464,0.295326,0.239408,0.296382,0.378459,0.290603,0.302800,0.267877,0.037844,0.019782,0.022925,0.011197,0.007714,0.011313,0.009951,0.002243,0.019486,0.014863,0.051542,0.012699,0.011087,speech
0.128673,0.020793,3.098848,0.206739,0.210539,0.838302,0.010150,0.188225,-25.090363,2.695495,-0.200379,-0.569879,-0.319213,-0.913104,0.197721,-0.036584,-0.129511,-0.044419,-0.229738,-0.105530,-0.114146,0.020285,0.011830,0.015311,0.010733,0.013500,0.013581,0.014786,0.001346,0.013039,0.020092,0.034098,0.016884,0.016579,-0.000150,-0.000186,-0.008997,-0.002694,-0.002507,0.002877,-0.000123,-0.001100,-0.039521,-0.018016,-0.004716,0.010031,-0.022661,-0.037598,0.006019,0.034449,0.008261,0.012820,0.022213,-0.003665,0.010334,-0.000111,0.000825,-0.000357,0.000320,0.000342,-0.002104,-0.000400,-0.000030,0.000388,0.001112,-0.000078,0.000636,-0.000215,0.060359,0.024207,0.156020,0.065023,0.035174,0.467925,0.006841,0.139979,1.373705,0.498702,0.397703,0.300309,0.327718,0.304233,0.301389,0.267528,0.285156,0.215779,0.183651,0.182628,0.207243,0.017607,0.010574,0.014341,0.009481,0.010660,0.013344,0.010417,0.001735,0.012335,0.014978,0.026042,0.016638,0.006001,0.056004,0.024405,0.231881,0.058187,0.033505,0.483447,0.007584,0.144001,0.933520,0.589820,0.393720,0.333524,0.365613,0.396464,0.368959,0.274640,0.293715,0.232060,0.237012,0.223902,0.238535,0.022018,0.014069,0.018134,0.013741,0.015936,0.017633,0.013619,0.002224,0.017520,0.016846,0.031056,0.023592,0.007035,speech
0.087531,0.065978,3.206206,0.164351,0.176062,0.648594,0.010415,0.126891,-22.236798,2.211342,-0.419477,-0.461410,-0.430328,-0.336173,-0.022620,-0.176802,-0.072657,0.014378,-0.246250,-0.083756,-0.208464,0.015710,0.008267,0.012284,0.013656,0.010848,0.018386,0.013097,0.001857,0.013094,0.017836,0.039846,0.012339,0.017291,0.002957,-0.000241,-0.005087,0.000928,-0.000347,0.026763,0.000011,0.007734,0.089193,-0.021377,0.035159,0.004975,0.003571,0.003746,-0.021493,-0.012834,-0.018143,0.002061,0.008848,0.006119,-0.013371,0.000015,-0.000022,-0.000344,-0.000223,0.000361,0.001802,0.000330,0.000039,-0.000300,0.000159,0.000906,-0.000125,0.000308,0.021950,0.031353,0.088358,0.017949,0.022758,0.229077,0.005636,0.051785,0.878311,0.446092,0.589033,0.271711,0.377934,0.210723,0.266316,0.274116,0.226765,0.193982,0.222667,0.155825,0.180703,0.016809,0.014983,0.009803,0.012702,0.011316,0.016973,0.009618,0.001626,0.014617,0.011184,0.032537,0.017886,0.007082,0.019391,0.039172,0.097231,0.023374,0.031677,0.199370,0.006130,0.037914,0.827081,0.424087,0.371699,0.285235,0.342323,0.283830,0.308467,0.325983,0.272567,0.256854,0.282030,0.208003,0.244182,0.016995,0.022440,0.014461,0.017507,0.016559,0.018649,0.014288,0.002332,0.018770,0.011716,0.038775,0.018604,0.008496,speech
0.130246,0.046771,3.182465,0.221510,0.221209,0.862996,0.011095,0.217458,-23.248329,2.116132,0.327658,-0.625331,-0.210324,-0.220624,-0.193749,-0.281682,0.008958,0.185865,-0.158273,-0.185925,-0.256525,0.031841,0.008429,0.008132,0.019898,0.008313,0.017576,0.014405,0.002422,0.014008,0.027233,0.041537,0.011395,0.023807,-0.008010,0.001232,-0.008565,-0.003579,0.002987,-0.066613,0.000908,-0.019500,0.048029,0.113063,0.041935,0.005954,0.001880,0.040674,-0.014507,-0.028289,0.003089,-0.008748,0.012449,0.013212,-0.003487,0.000425,-0.000692,-0.000119,0.014046,0.001656,-0.005640,0.000348,-0.000117,0.000170,-0.001811,0.000294,-0.000837,0.002258,0.082522,0.030760,0.116286,0.077216,0.040763,0.667196,0.006250,0.174810,0.756064,0.758207,0.642376,0.247880,0.307467,0.229845,0.241952,0.190447,0.202033,0.194048,0.180129,0.205224,0.195496,0.026447,0.009495,0.008906,0.028063,0.008126,0.022020,0.014023,0.003611,0.016042,0.021735,0.035701,0.010695,0.013411,0.087949,0.032623,0.168860,0.090741,0.050113,0.747595,0.008375,0.217610,0.696233,0.616640,0.413095,0.301007,0.349445,0.230929,0.318509,0.282884,0.333657,0.260038,0.241067,0.257873,0.255805,0.028720,0.012429,0.013381,0.030179,0.011521,0.029083,0.021263,0.004503,0.022583,0.032486,0.039341,0.015659,0.012918,speech
0.100353,0.044917,3.185647,0.169711,0.173780,0.868923,0.013128,0.146884,-23.341944,1.858836,-0.674036,-0.667475,-0.170989,-0.413075,-0.329762,-0.424135,-0.392537,-0.110751,-0.187638,-0.223066,-0.195900,0.016983,0.009253,0.012647,0.011089,0.012995,0.050814,0.020297,0.006336,0.007756,0.011793,0.024788,0.010415,0.021630,0.000022,-0.000623,-0.000272,-0.000218,0.000161,-0.006786,0.000097,0.000259,-0.044680,0.016303,0.019551,-0.004306,0.006615,0.023766,-0.005740,-0.001353,-0.007218,-0.004729,0.003901,-0.011628,0.000753,0.000052,0.000197,-0.000089,-0.000096,0.000386,0.000608,0.000017,0.000173,0.000664,-0.000094,0.000215,-0.000174,-0.000043,0.037731,0.043184,0.147800,0.028731,0.024008,0.512575,0.010182,0.085317,0.853738,0.820743,0.498798,0.489842,0.416479,0.351219,0.328845,0.206032,0.262873,0.220119,0.255686,0.272597,0.250814,0.014361,0.017134,0.016044,0.011847,0.011016,0.063926,0.028544,0.006743,0.006014,0.009847,0.025881,0.009023,0.016821,0.026202,0.036472,0.214977,0.029721,0.031645,0.351289,0.011202,0.061169,0.767865,0.635750,0.437531,0.419506,0.274849,0.405333,0.299346,0.258201,0.307551,0.275460,0.290002,0.306706,0.216131,0.014933,0.023452,0.021228,0.015287,0.013751,0.065418,0.042310,0.007254,0.006951,0.012372,0.037403,0.010938,0.013270,speech
0.097997,0.058514,3.162894,0.169073,0.170922,0.878428,0.011048,0.146455,-22.280076,2.032499,-0.955168,-0.186444,0.019937,-0.143117,-0.125938,-0.329564,0.021901,-0.055343,0.081391,-0.183238,-0.116186,0.010803,0.007590,0.009524,0.017585,0.011849,0.012903,0.025193,0.006545,0.024618,0.021149,0.022870,0.008787,0.018081,0.000738,-0.003251,0.002377,0.000400,-0.000222,0.018424,0.000093,0.001348,-0.056169,-0.022172,-0.021922,-0.004154,0.028882,0.001926,-0.021020,0.006361,-0.026153,-0.008832,-0.001717,-0.008521,0.000125,-0.000423,-0.000265,-0.000030,-0.000169,0.001613,0.000059,-0.001292,0.000240,-0.000225,-0.000145,-0.000188,0.000183,-0.000165,0.018632,0.036405,0.141259,0.023254,0.021314,0.208489,0.004772,0.043143,0.583577,0.467178,0.532498,0.448327,0.348017,0.353569,0.315024,0.250252,0.295304,0.192702,0.201139,0.222809,0.282581,0.011764,0.006346,0.010444,0.027194,0.014007,0.021255,0.023827,0.008143,0.030766,0.013483,0.018525,0.010110,0.008311,0.020221,0.038218,0.197500,0.019306,0.021265,0.213639,0.005952,0.052714,0.649701,0.397603,0.450988,0.346037,0.397690,0.353954,0.254376,0.333603,0.313217,0.210330,0.260062,0.240834,0.310166,0.018661,0.008041,0.013970,0.032604,0.017912,0.030425,0.035480,0.010577,0.043100,0.018770,0.023501,0.012968,0.009584,speech
0.114148,0.049132,3.173682,0.198801,0.192835,1.003954,0.012202,0.163156,-22.559631,1.660248,-0.447246,-0.020942,-0.414445,-0.338191,-0.201261,-0.269658,-0.003557,-0.061388,-0.095785,-0.334541,-0.524977,0.043966,0.010491,0.022861,0.007202,0.005560,0.009377,0.011853,0.003956,0.019833,0.018406,0.028117,0.010532,0.023074,-0.001747,-0.000425,-0.001525,-0.000454,0.000462,-0.007253,0.000045,-0.001896,-0.022819,0.037146,0.028134,0.018148,0.008775,0.004876,0.012194,0.018080,0.006448,0.002664,-0.001912,0.001100,0.004815,0.001293,-0.000009,0.000259,0.000663,-0.000084,0.000456,0.000279,-0.000080,-0.000111,-0.000256,-0.000126,-0.000174,0.000206,0.050539,0.033236,0.134875,0.038411,0.024883,0.552230,0.008366,0.098205,0.612754,0.650183,0.484300,0.326518,0.318085,0.297754,0.307146,0.274753,0.233464,0.298470,0.218787,0.280705,0.328784,0.058061,0.014309,0.030897,0.008567,0.005449,0.011577,0.013161,0.006602,0.024652,0.024213,0.030434,0.011289,0.016257,0.045161,0.034236,0.198044,0.042530,0.030152,0.539364,0.009358,0.106535,0.800362,0.605494,0.530355,0.438211,0.351309,0.357763,0.355188,0.350489,0.265016,0.311224,0.231357,0.300637,0.310703,0.058278,0.019475,0.033698,0.010314,0.007599,0.011782,0.017341,0.008575,0.028963,0.028416,0.041897,0.013140,0.016520,speech
