@RELATION svm_rbf_speaker_male_female
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE features113 NUMERIC
@ATTRIBUTE features114 NUMERIC
@ATTRIBUTE features115 NUMERIC
@ATTRIBUTE features116 NUMERIC
@ATTRIBUTE features117 NUMERIC
@ATTRIBUTE features118 NUMERIC
@ATTRIBUTE features119 NUMERIC
@ATTRIBUTE features120 NUMERIC
@ATTRIBUTE features121 NUMERIC
@ATTRIBUTE features122 NUMERIC
@ATTRIBUTE features123 NUMERIC
@ATTRIBUTE features124 NUMERIC
@ATTRIBUTE features125 NUMERIC
@ATTRIBUTE features126 NUMERIC
@ATTRIBUTE features127 NUMERIC
@ATTRIBUTE features128 NUMERIC
@ATTRIBUTE features129 NUMERIC
@ATTRIBUTE features130 NUMERIC
@ATTRIBUTE features131 NUMERIC
@ATTRIBUTE features132 NUMERIC
@ATTRIBUTE features133 NUMERIC
@ATTRIBUTE features134 NUMERIC
@ATTRIBUTE features135 NUMERIC
@ATTRIBUTE features136 NUMERIC
@ATTRIBUTE class {Male,Female}

@DATA
0.033621,0.130418,3.165169,0.078937,0.121688,0.268802,0.009127,0.045803,-22.388140,2.955428,0.567025,-0.205730,-0.214931,0.010833,-0.977429,0.304287,-0.197476,0.345762,-0.204938,0.323166,0.187586,0.004627,0.004655,0.063387,0.023352,0.024476,0.007735,0.013926,0.000509,0.036713,0.015990,0.013504,0.002281,0.025851,-0.006273,0.012560,0.002449,-0.000093,0.004682,-0.019969,-0.000106,-0.004469,-0.248982,0.073630,0.263375,0.025761,-0.173112,-0.055939,-0.176771,-0.108817,0.086063,0.062275,-0.149142,0.047374,0.041302,-0.000414,-0.000622,0.011567,-0.000239,-0.006156,0.001012,0.001058,-0.000181,0.007617,-0.000857,-0.000906,0.000076,0.003106,0.016702,0.026987,0.217942,0.021481,0.033538,0.224663,0.006659,0.032437,0.736482,0.476283,0.395534,0.271294,0.271472,0.154380,0.279992,0.217338,0.233012,0.095800,0.130533,0.156348,0.140560,0.001931,0.003365,0.023354,0.023423,0.015188,0.011527,0.009098,0.000798,0.010091,0.013421,0.012219,0.001991,0.006974,0.025088,0.038490,0.332360,0.032156,0.053033,0.275679,0.009082,0.044314,0.944741,0.630149,0.408293,0.304166,0.448792,0.158199,0.487521,0.212002,0.209061,0.180536,0.315161,0.315495,0.235323,0.002963,0.005166,0.026579,0.024897,0.027920,0.015263,0.015562,0.001334,0.022063,0.013971,0.016504,0.002497,0.007078,Male
0.067060,0.035084,3.065047,0.123617,0.157164,0.467021,0.012462,0.093308,-25.254289,2.685390,0.186184,0.340512,0.195438,0.081864,-0.024527,-0.045869,-0.007163,0.081298,0.131438,-0.027781,0.072943,0.015990,0.002000,0.082495,0.009309,0.019988,0.004986,0.024200,0.003673,0.012105,0.008449,0.031332,0.002979,0.026203,0.038169,-0.023306,0.004039,0.031631,0.003333,0.324255,0.001396,0.066833,-1.050249,-0.419069,-0.113909,0.161022,0.252417,-0.099709,0.066005,0.084020,-0.000340,-0.141023,0.248454,-0.072624,-0.151996,-0.012607,0.000003,-0.011660,-0.000143,-0.002776,-0.004349,0.000456,0.000958,-0.011492,-0.000418,0.003942,-0.000011,-0.003428,0.042519,0.024322,0.149343,0.034125,0.028434,0.392027,0.004659,0.079925,1.659349,0.526848,0.751134,0.180782,0.327235,0.200977,0.138338,0.222876,0.235021,0.209975,0.256706,0.163911,0.183465,0.012568,0.002580,0.060512,0.006717,0.014413,0.004385,0.018921,0.006924,0.016177,0.006258,0.021900,0.002199,0.014691,0.042449,0.041453,0.230549,0.029014,0.048038,0.417393,0.005920,0.087982,1.989580,0.393968,0.673929,0.151956,0.380791,0.188390,0.204639,0.404195,0.226982,0.222983,0.175051,0.268444,0.117508,0.013024,0.002929,0.090836,0.010711,0.014958,0.009509,0.030547,0.007217,0.034106,0.008558,0.036635,0.001858,0.020165,Male
0.036245,0.080394,3.039317,0.090521,0.139074,0.283024,0.010296,0.057214,-23.296737,2.862315,0.293742,0.215314,-0.423851,0.490180,-0.448456,0.044250,0.047979,0.207973,-0.111109,0.252757,0.117623,0.022647,0.002826,0.045612,0.008444,0.027035,0.019622,0.040160,0.001404,0.013381,0.011837,0.036963,0.003919,0.022279,0.002095,-0.001260,0.020784,0.004456,0.004022,0.027297,-0.000587,0.005165,0.163643,-0.177607,-0.045871,-0.012977,-0.023774,0.054824,0.022943,0.021725,0.020481,-0.014785,-0.007524,0.019246,-0.044432,0.002204,0.000051,-0.001136,-0.000375,-0.001730,-0.001203,-0.005049,0.000044,-0.000083,-0.000786,-0.000484,0.000468,-0.000906,0.026520,0.059946,0.302260,0.036062,0.042153,0.338349,0.007132,0.054513,1.838313,1.112820,0.732497,0.331565,0.408345,0.307501,0.310167,0.284083,0.271070,0.269845,0.137884,0.174943,0.208977,0.015836,0.004380,0.021714,0.006380,0.023422,0.017463,0.030326,0.002131,0.011564,0.010674,0.025351,0.002491,0.006453,0.015775,0.045801,0.368089,0.027490,0.047457,0.192739,0.010245,0.038239,1.815941,0.494893,0.753354,0.421623,0.544926,0.332729,0.359584,0.280119,0.227359,0.300466,0.199100,0.211711,0.218781,0.020028,0.004970,0.023341,0.009267,0.029113,0.019464,0.035739,0.002906,0.017755,0.011956,0.033683,0.004128,0.008335,Male
0.032318,0.042483,3.042797,0.093983,0.150844,0.215286,0.012183,0.036395,-25.350133,2.774421,0.680405,0.109690,-0.165261,0.492530,-0.145540,0.036109,0.130393,0.196425,0.080426,0.218626,0.065766,0.009781,0.001570,0.101241,0.011082,0.021711,0.015748,0.048446,0.001708,0.005399,0.009059,0.035177,0.005388,0.033109,-0.001582,-0.000027,-0.002575,-0.003195,-0.002457,-0.021078,0.001080,-0.005059,0.078480,0.014626,0.020453,0.021148,-0.026492,0.011801,-0.038515,0.007240,0.002808,0.004903,-0.006607,0.001415,-0.006355,0.000258,-0.000070,0.002302,0.000158,-0.002400,0.000094,0.000376,-0.000072,0.000000,-0.000417,-0.000487,0.000262,-0.000198,0.024693,0.025785,0.244140,0.020951,0.028297,0.258532,0.005344,0.038045,1.651999,0.527045,0.490551,0.274423,0.392168,0.303993,0.303867,0.125673,0.232482,0.254195,0.229748,0.222332,0.163330,0.008392,0.002203,0.037156,0.011757,0.021302,0.012192,0.040677,0.002402,0.004060,0.006945,0.018750,0.007429,0.009596,0.018500,0.022190,0.368015,0.022045,0.038958,0.200869,0.006306,0.026151,1.360840,0.511060,0.482451,0.429268,0.412207,0.319148,0.324278,0.169500,0.216702,0.352446,0.272709,0.257537,0.200814,0.008708,0.003099,0.071060,0.015541,0.029681,0.015400,0.061765,0.003113,0.004454,0.010949,0.029651,0.007883,0.015468,Male
0.041417,0.050791,3.075509,0.104152,0.149874,0.311955,0.010493,0.054499,-24.905542,2.610180,0.316945,0.278684,0.332385,0.320008,-0.307126,-0.028031,0.377428,0.185519,-0.119724,0.106539,0.088919,0.022672,0.001338,0.093195,0.007273,0.014408,0.013670,0.037681,0.000631,0.006648,0.007430,0.044203,0.004612,0.033722,-0.014682,-0.001230,-0.022942,-0.010307,-0.000031,-0.171838,0.001313,-0.023737,0.167640,0.060492,-0.111866,-0.022656,0.057788,0.039498,-0.030430,0.048467,-0.128322,0.026857,-0.013711,0.033797,-0.039850,-0.001751,0.000153,0.002442,0.001231,0.003526,0.000430,-0.000173,-0.000014,-0.000784,-0.000187,0.011040,0.000587,0.002397,0.031104,0.027078,0.074860,0.023420,0.026978,0.341857,0.005914,0.059309,1.507348,0.733984,0.519007,0.310659,0.460491,0.248483,0.274173,0.134319,0.335347,0.200109,0.097484,0.144644,0.157907,0.019102,0.000955,0.055783,0.002233,0.007270,0.015171,0.030657,0.000626,0.008436,0.008285,0.029702,0.005371,0.010337,0.045675,0.021048,0.091652,0.030093,0.044171,0.498940,0.010111,0.089547,1.483415,0.928689,0.435780,0.385277,0.399932,0.257202,0.248262,0.184331,0.355267,0.282517,0.122413,0.133271,0.217014,0.019657,0.001091,0.088929,0.004327,0.009306,0.016563,0.048180,0.000820,0.008835,0.010635,0.036160,0.007306,0.018311,Male
0.045599,0.039620,3.175690,0.100469,0.145054,0.336158,0.013299,0.063362,-25.706157,2.355660,0.644715,0.363281,-0.170248,0.242923,-0.328451,0.063516,0.065282,0.073483,0.027978,0.358288,-0.033882,0.027726,0.001339,0.071466,0.021752,0.020508,0.004476,0.027099,0.001783,0.017242,0.027210,0.024142,0.003161,0.024319,0.019737,-0.001459,0.110933,0.014971,0.010099,0.200052,0.004995,0.040449,0.481060,-0.356393,-0.048442,-0.078020,-0.288008,-0.015804,-0.106148,-0.052400,-0.098023,-0.073185,0.051307,0.163069,-0.313804,0.012930,0.000320,-0.036265,0.005390,-0.037438,-0.000458,0.000978,0.000415,0.002216,0.019413,0.009605,0.001101,-0.009964,0.006573,0.026796,0.065705,0.013187,0.019717,0.066651,0.002909,0.014042,1.633506,0.367689,0.302723,0.190394,0.252796,0.204851,0.154931,0.107347,0.130154,0.159413,0.086001,0.083493,0.072702,0.014747,0.001082,0.027267,0.004223,0.015135,0.001366,0.011385,0.002355,0.012479,0.002392,0.017243,0.001953,0.006993,0.005420,0.013444,0.063979,0.015273,0.024813,0.058156,0.003702,0.006622,0.619719,0.303700,0.260950,0.168833,0.229337,0.167563,0.184856,0.131899,0.118649,0.126235,0.106468,0.111920,0.091040,0.010765,0.001406,0.028308,0.004212,0.018289,0.001860,0.012852,0.003208,0.014383,0.003490,0.019929,0.002407,0.006977,Male
0.049433,0.069103,2.875982,0.105571,0.148296,0.360925,0.023483,0.073571,-23.617138,2.708300,0.378874,-0.036046,-0.597247,0.140467,-0.353362,-0.114973,0.023324,-0.035591,-0.099225,0.113002,0.051752,0.005558,0.003493,0.015265,0.011596,0.018831,0.023222,0.053376,0.001328,0.041741,0.018215,0.013412,0.003269,0.027472,-0.000715,-0.010249,-0.098425,0.002812,0.003682,-0.000268,0.003514,-0.000136,-0.049537,0.058762,0.006383,-0.006525,-0.033157,-0.043723,-0.016488,0.002158,-0.005413,0.002702,0.001117,-0.004399,-0.043679,0.000171,0.000562,-0.001450,-0.001947,0.004658,0.008169,-0.001192,0.000027,-0.000741,-0.000054,-0.000806,0.000200,0.000733,0.038280,0.057910,0.431548,0.032760,0.036473,0.389526,0.015726,0.069113,1.559780,0.827945,0.572280,0.178922,0.370470,0.316962,0.289237,0.159163,0.289224,0.214479,0.210528,0.216524,0.242197,0.004887,0.003327,0.017041,0.010424,0.031851,0.028859,0.051550,0.001658,0.054593,0.011180,0.013271,0.003798,0.014810,0.049124,0.088872,0.587124,0.047387,0.052077,0.543436,0.016348,0.087672,1.706348,1.136145,0.544728,0.211777,0.380701,0.441429,0.346452,0.175952,0.370179,0.291270,0.238947,0.257682,0.320688,0.006489,0.005056,0.021502,0.011651,0.040498,0.036791,0.078688,0.002214,0.080799,0.015581,0.018177,0.005873,0.018125,Male
0.047913,0.029773,3.099375,0.096546,0.128299,0.343278,0.008006,0.072361,-25.823296,2.369713,0.230470,0.687280,0.120044,0.412085,-0.336383,-0.032033,0.314429,0.273356,-0.111312,0.176998,-0.016563,0.015711,0.004471,0.067787,0.009124,0.017715,0.008091,0.024594,0.001067,0.003203,0.014738,0.063653,0.007311,0.027598,-0.007770,-0.004181,-0.032151,0.001466,0.012321,-0.064061,0.001029,-0.012198,-0.822269,0.266326,0.217506,-0.049907,0.040898,-0.046467,0.050089,0.005795,-0.019420,-0.069557,0.073016,-0.012643,0.051240,-0.004061,-0.000429,0.007122,0.000611,0.000306,0.000194,0.001920,-0.000471,-0.000479,-0.000950,0.023347,-0.001631,0.005265,0.034130,0.028995,0.180548,0.033002,0.036612,0.306208,0.005758,0.057792,1.705625,0.932436,0.697306,0.410818,0.289854,0.247323,0.203509,0.279217,0.337713,0.178298,0.225699,0.121466,0.236486,0.021006,0.004206,0.018141,0.007076,0.009905,0.008169,0.015603,0.001187,0.004698,0.015534,0.045753,0.007603,0.009719,0.029485,0.018684,0.238133,0.036150,0.039375,0.319015,0.007387,0.046300,1.047203,0.498507,0.661752,0.410357,0.418464,0.283853,0.239782,0.352027,0.247560,0.176308,0.327875,0.163532,0.253253,0.024339,0.004913,0.038567,0.011187,0.015447,0.008183,0.018305,0.001644,0.006348,0.012562,0.040592,0.012089,0.010015,Male
0.085492,0.021601,3.077905,0.132984,0.143897,0.940456,0.007206,0.154741,-24.527920,1.403595,0.310222,0.280640,-0.044527,0.368647,-0.188331,0.313323,0.118495,0.151536,-0.290466,-0.006284,0.003670,0.010821,0.003338,0.031507,0.008893,0.019655,0.007380,0.019206,0.002201,0.003118,0.008659,0.043031,0.002311,0.015622,-0.007793,0.000006,0.207422,-0.004310,0.000589,0.014085,-0.007478,-0.000045,0.579928,-0.418028,-0.278054,-0.542826,-0.002574,0.237611,-0.186203,0.151080,-0.071135,0.261814,-0.385454,-0.033525,-0.080893,0.001501,-0.000541,-0.009908,-0.001627,-0.009746,-0.000667,-0.002487,0.000820,0.000327,0.001966,-0.004902,-0.000040,-0.003658,0.017377,0.024738,0.099650,0.015349,0.018554,0.197218,0.003245,0.031826,1.056020,0.501863,0.165231,0.132509,0.202437,0.098686,0.136549,0.094762,0.078673,0.113733,0.121618,0.086116,0.089830,0.006361,0.003860,0.014379,0.008027,0.012864,0.004330,0.012448,0.000747,0.002969,0.004720,0.024982,0.001798,0.005087,0.019518,0.025739,0.123506,0.016735,0.025357,0.224262,0.003278,0.037230,1.144780,0.515311,0.219080,0.163217,0.206243,0.149572,0.131639,0.137721,0.114298,0.137831,0.121434,0.115092,0.118433,0.007592,0.003288,0.020391,0.009577,0.020896,0.004748,0.016349,0.001038,0.004592,0.006480,0.035682,0.002134,0.006832,Male
0.071773,0.063608,3.086719,0.115240,0.134223,0.596593,0.010487,0.112307,-23.827976,1.743966,0.472905,0.373931,-0.429696,0.430416,-0.195767,-0.029807,0.066446,0.075489,-0.097275,0.158040,0.072241,0.013604,0.003095,0.036015,0.016035,0.034223,0.013582,0.020288,0.002279,0.008233,0.011698,0.021882,0.005890,0.020946,-0.004140,-0.005656,-0.016297,-0.003427,-0.000681,-0.034709,0.000266,-0.006057,-0.013405,0.034331,-0.092917,0.022673,0.014111,-0.035404,0.043150,0.032089,-0.011545,0.013679,0.008981,-0.019679,-0.020651,0.001168,0.000753,0.001701,0.000218,0.000470,-0.003298,0.000229,0.000052,0.000629,0.000343,0.002118,0.000850,-0.000395,0.042684,0.040478,0.211517,0.039916,0.035182,0.401033,0.005698,0.077106,1.781973,0.757421,0.631049,0.392538,0.392987,0.284439,0.296841,0.293322,0.271780,0.179490,0.262333,0.282340,0.194717,0.015980,0.003842,0.048463,0.020626,0.037155,0.019653,0.013407,0.002139,0.011044,0.013193,0.013318,0.004485,0.013012,0.042760,0.034774,0.338293,0.041816,0.050847,0.371395,0.006979,0.083059,1.829886,0.707912,0.646252,0.460763,0.472917,0.343787,0.369266,0.429327,0.285899,0.253579,0.261857,0.351488,0.286652,0.022903,0.005076,0.070669,0.028654,0.041108,0.025956,0.019701,0.002685,0.012094,0.020099,0.018604,0.004811,0.014645,Male
